journal	journal_from_url
Sydney Morning Herald	smh.com.au
The Conversation	theconversation.com
The Australian	theaustralian.com.au
Australian Financial Review	afr.com
Inside Story	insidestory.org.au
The Guardian	theguardian.com
The Age	theage.com.au
Canberra Times	canberratimes.com.au
Great Lakes Advocate	greatlakesadvocate.com.au
